Униграммы при Хи-2,Хи-квадрат,Униграммы при Взаимной инф.,Взаимная информация,Биграммы при Хи-2,Хи-квадрат (Биграммы),Биграммы при Взаимной инф.,Взаимная информация (Биграммы)
topic,245.12405063291004,research,0.024245871943734974,on text,189.2820512820502,mining the,0.025218578913691017
news,241.54022988505614,conditions,0.02384797487931027,content based,188.90566037735738,to control,0.024911080254936574
similarity,237.2906976744173,temperature,0.023731909060035916,mining approach,186.06249999999898,retrieval using,0.024460115626700318
content,236.56673511293502,techniques,0.023719744070588644,inference system,181.999999999999,sentiment analysis,0.024262485309820083
fls,236.19354838709546,similarity,0.023641080579267587,the control,181.999999999999,an information,0.02418236672690519
wireless,234.13793103448145,uncertainties,0.0232718324963596,with fuzzy,181.7222222222212,language processing,0.024055698860447474
customer,233.40350877192853,learning,0.02325031204486108,machine learning,180.80147058823428,logic systems,0.02342079344773005
word,232.26726057906325,topic,0.02298450994434017,retrieval the,178.77227722772176,inference system,0.023074753324286608
uncertainty,231.3103448275849,functions,0.022963729846125207,private information,169.99999999999903,mining in,0.022888599547571054
simulink,229.99999999999872,analyze,0.022943896264251397,control the,168.45161290322488,control the,0.022549718065066483
design,228.49910233393052,extraction,0.022805922041200237,text clustering,166.06976744185954,and retrieval,0.022500203810900045
pi,226.76799999999875,mamdani,0.02272891307552654,an information,164.18181818181725,query expansion,0.022383272446196447
users,223.8150943396214,controlled,0.022394805296631005,logic algorithm,163.9999999999991,fuzzy system,0.022037831181576418
twitter,221.67346938775384,pi,0.02236110717548132,fuzzy system,163.9999999999991,machine learning,0.02189428163852388
unstructured,220.35932203389706,systems,0.022348485651022473,membership function,162.07142857142767,information from,0.021600471703777553
reviews,220.23076923076803,processing,0.02201493543865387,fuzzy rules,161.9999999999991,fuzzy rules,0.02134754573022567
learning,215.74663677129922,expansion,0.021943506001787075,mining the,159.59574468085015,image retrieval,0.021212319533955325
indexing,211.68944099378763,large,0.021624189841003835,user query,159.0549450549442,user query,0.020966944229640874
uncertainties,210.05555555555438,retrieved,0.02145289358944761,document retrieval,158.61363636363546,and text,0.020558925001349634
techniques,208.6353421859028,precision,0.021425501854603568,retrieval using,153.9999999999991,logic to,0.020123791765986387
conditions,206.52093023255702,retrieving,0.02131309272851887,fuzzy controller,153.9999999999991,controller and,0.0199693560549706
topics,204.53599999999886,dc,0.021006310551970383,mining in,153.87878787878702,logic method,0.019969356054970577
reports,204.03703703703587,robot,0.020723348195647213,relevance feedback,151.99999999999918,fuzzy controller,0.019969356054970577
sets,203.8028169014073,dynamic,0.02068023787910783,cross language,149.99999999999915,logic algorithm,0.019969356054970563
input,199.76388888888778,twitter,0.020549776636467114,logic method,147.99999999999918,the simulation,0.019903875526777443
mamdani,195.9999999999989,input,0.020071118778084693,power system,147.70454545454461,and information,0.019781807525889216
precision,194.7935483870957,pid,0.01996935605497058,natural language,147.62962962962882,mining for,0.019709622239456374
error,193.9134615384604,conventional,0.01976513085999801,the simulation,144.07272727272647,in matlab,0.019625303255468074
rules,193.7499999999989,indexing,0.019433488258147,retrieval method,142.3116883116875,retrieval performance,0.018937789444155324
dynamic,192.44067796610057,recall,0.019264191461750083,logic controllers,141.9999999999992,membership function,0.018528304502377038
systems,191.02317596566414,our,0.0191148338795532,the semantic,141.05479452054715,to extract,0.018374597199127964
articles,190.9662921348304,ontology,0.019058608266413417,the system,140.4874999999992,the system,0.01825761995854599
rank,189.55102040816215,articles,0.018930276547186986,search engines,140.48275862068886,logic controllers,0.018251063018982598
extraction,188.92682926829164,error,0.018845925125809543,adaptive fuzzy,139.9999999999992,retrieval based,0.018105899645703867
it2,185.99999999999898,image,0.018725945618889676,logic to,138.53846153846078,of data,0.01809956403927265
matching,185.60227272727167,study,0.018698350486675654,the output,138.0434782608688,content based,0.018093748541755453
textual,184.25581395348735,inputs,0.018432829682233844,maximum power,137.99999999999923,mining to,0.017818438238229886
policy,182.5737704918023,wireless,0.01838974536769305,to rank,137.80722891566188,the semantic,0.01772545461231793
controlled,181.77586206896447,searching,0.018258720418705403,fuzzy set,136.89999999999924,design of,0.017691570809853285
conventional,181.44497607655398,simulated,0.01786405730519871,and information,136.80536912751603,logic the,0.017655200232457056
tracking,181.2982456140341,extracting,0.017854719034521085,analysis of,136.42553191489284,the output,0.017311244754311114
online,179.5206611570238,topics,0.01780356869375316,controller and,135.99999999999926,controller the,0.017222445379934396
review,178.25384615384513,and,0.017659545118893054,retrieval performance,133.99999999999926,proposed fuzzy,0.017222445379934396
bayes,177.5849056603763,corpus,0.01759505775036649,and text,133.83225806451537,to analyze,0.017166053487244544
analyze,175.14285714285617,news,0.017525048641782816,language processing,133.66798418972257,retrieval method,0.01704892567543108
solar,173.99999999999903,machine,0.01750083248249868,mining for,132.71999999999923,based information,0.016721174899150936
multimedia,173.7213114754089,bayes,0.01728501671946813,design of,132.03773584905588,using matlab,0.016537678732926768
functions,173.44747081711967,domain,0.017219463382731965,based information,131.03529411764632,document retrieval,0.016373642302310153
electric,172.2521008403352,variables,0.016739171771742403,of data,129.41420118343123,this study,0.01626458266397772
study,171.27692307692212,converter,0.01653767873292675,to analyze,129.16455696202456,query and,0.016159402234981805
water,170.19469026548575,related,0.01630219181117056,mining methods,126.09090909090838,mining methods,0.016118708597456323
clustering,168.83461538461444,feature,0.016171970711122398,question answering,125.6705882352934,the proposed,0.01597340058150164
music,167.16326530612153,dataset,0.016089328445780586,vector space,124.79999999999929,controller flc,0.015511991507558325
machine,167.09554140127295,the,0.015914616906971716,to extract,124.77824267782357,the search,0.01542024996943215
question,166.6629213483137,controlling,0.015903685990609512,retrieval based,124.092307692307,analysis of,0.015089886390985515
retrieved,166.14062499999906,matching,0.015737050463233038,control strategy,123.9999999999993,search engines,0.014845995276621969
flss,165.9999999999991,online,0.015633094261926977,this study,122.08045977011426,through text,0.014829172330137952
resources,165.5454545454536,preprocessing,0.015404005497900497,in matlab,121.99999999999933,relevant documents,0.014789234194467822
maximum,164.71428571428478,rank,0.015361214151567573,pid controller,121.99999999999933,vector space,0.01475433763442914
battery,164.0705882352932,nonlinear,0.015327166804997457,language information,121.99999999999933,mining of,0.014696752260852375
torque,163.9999999999991,keywords,0.014581121733127169,semantic information,121.39999999999931,power system,0.014685228013710205
extract,163.82195845697237,review,0.01456613477605069,relevant documents,120.09523809523743,parameters of,0.01455392608814387
traffic,158.34736842105175,performance,0.014520810315826187,fuzzy control,119.99999999999932,the controller,0.014488053701552664
feature,155.89662921348227,clustering,0.014483880595940708,the robot,119.99999999999932,mining technique,0.014488053701552652
private,154.79999999999913,reviews,0.014351096426016776,feature selection,119.79310344827519,big data,0.01427761335275824
preprocessing,154.72483221476426,engines,0.01432954739529654,mining to,119.35211267605567,retrieval techniques,0.01414712872233725
variables,150.22033898305,cross,0.01431706292234191,the search,117.21100917431127,on social,0.01408959651410142
inputs,148.94999999999914,reports,0.014314576570447615,wireless sensor,116.79999999999934,system is,0.013928199246851377
photovoltaic,147.99999999999918,tracking,0.014285249137166773,based image,116.37499999999935,text documents,0.013844653047107067
literature,146.8178438661702,nlp,0.013888350436414433,mobile robot,116.08333333333269,retrieval methods,0.013806397150076559
images,146.6083650190106,analyzing,0.013768182864733542,query and,116.08333333333269,retrieve the,0.01370424260611672
retrieving,146.04761904761824,literature,0.01368517532553115,logic the,114.38095238095175,in fuzzy,0.013625392372272888
induction,146.04210526315708,database,0.01355050150263066,ir system,114.09999999999935,retrieval models,0.013465858742847933
database,145.68316831683086,signal,0.013532739214998563,search engine,112.0722891566259,adaptive fuzzy,0.013465858742847926
patterns,142.72103004291768,based,0.013462371863118043,proposed fuzzy,111.99999999999937,control strategy,0.013465858742847912
fault,142.50632911392327,stability,0.013396904059647937,controller the,111.99999999999937,mining method,0.013456812503404896
trends,142.0917431192653,discover,0.013379874270498079,textual data,111.83529411764643,text and,0.013282791407807238
stability,141.84090909090827,wind,0.01334242744612935,the type,110.67368421052569,system the,0.013248726574516305
engines,141.5714285714278,proposed,0.013324016448183193,text analysis,110.29508196721252,retrieval with,0.013125513259225036
processing,139.9794117647051,context,0.01325734395478257,fuzzy systems,109.99999999999937,of retrieval,0.013125513259225018
privacy,139.7857142857135,loop,0.013164155718739176,induction motor,109.99999999999937,fuzzy control,0.013125513259225018
opinion,139.6818181818174,structured,0.013130662542852372,retrieval models,109.99999999999937,query in,0.013125513259225015
domain,138.25382932166224,sugeno,0.013125513259225034,retrieval techniques,109.99999999999937,private information,0.013125513259225013
searching,137.21568627450904,electrical,0.013096391881598987,pi controller,109.99999999999937,retrieval this,0.013125513259225008
pv,137.19999999999925,discovery,0.012930766305919782,topic modeling,109.45454545454483,average precision,0.013066969449637568
categorization,135.74736842105187,space,0.012870228052265627,the proposed,108.43712574850238,control for,0.013059198590229169
xml,134.79999999999924,condition,0.012746940822232246,on social,108.3999999999994,retrieval process,0.012901799794010897
our,134.47215496367966,designed,0.012721773880673668,parameters of,108.20588235294059,fuzzy set,0.012900445019721235
pir,133.99999999999926,latent,0.012639500532506731,mining of,107.67647058823471,we propose,0.012804355994766994
natural,133.198979591836,time,0.012601755816057,of type,106.87096774193489,the membership,0.012785360458270018
and,133.14619543102873,battery,0.012562451326855618,the controller,105.99999999999939,logic with,0.012785360458270001
space,132.3636363636356,identify,0.012513929404191835,logic model,105.99999999999939,of query,0.01274249729641068
classifier,132.14285714285643,keyword,0.012498798947757055,text documents,105.89380530973392,information in,0.012722818108339626
loop,130.33802816901334,electric,0.012490549992969283,information resources,105.4999999999994,retrieval for,0.01271856002911222
recall,129.57142857142787,photovoltaic,0.012445400099534425,of the,105.46305084745705,the web,0.012708726171629332
arabic,129.21186440677894,collection,0.012384237487605261,data retrieval,104.10909090909033,by fuzzy,0.012445400099534432
condition,128.7499999999993,uncertain,0.012381762228662871,using matlab,101.99999999999942,steady state,0.012445400099534432
pattern,127.82572614107812,propose,0.012311842789418638,information from,100.74311926605449,pi controller,0.012445400099534418
knowledge,127.17661097851956,response,0.012291166761541567,text retrieval,100.34374999999943,fuzzy systems,0.012445400099534418
answering,125.83157894736773,trends,0.01229044428440471,of interval,99.99999999999945,of type,0.012444379438983254
simulated,124.85365853658467,knowledge,0.012255277312056626,in fuzzy,98.32727272727219,text analysis,0.012439611787126499
related,122.83595505617907,tweets,0.012232797316319106,temperature and,97.99999999999945,of the,0.01240823276973449
controlling,122.59999999999931,maximum,0.012199122971255274,semantic retrieval,97.99999999999945,queries and,0.012402051871787362
nonlinear,122.3846153846147,customer,0.012146888822992159,mining technique,97.99999999999943,mining technology,0.012389487389538687
context,121.42295081967146,features,0.012106412460503178,big data,96.48275862068913,search results,0.012354898254403803
faults,120.14736842105195,solar,0.012105631943061166,rule base,95.99999999999946,retrieval results,0.012106446443113525
comments,118.85714285714218,images,0.011954300913433434,controller flc,95.99999999999946,logic this,0.012105631943061163
market,118.2702702702696,private,0.011862078143028237,system is,95.65313653136477,pid controller,0.012105631943061159
mppt,117.99999999999932,simulations,0.011847857933933347,mining technology,94.21917808219123,topic modeling,0.012081295467498747
dataset,117.94674556212954,microcontroller,0.01176605574937796,retrieval results,94.1199999999995,search engine,0.011956449404053254
large,117.00418410041775,classifier,0.011644167476871418,intuitionistic fuzzy,93.99999999999946,textual data,0.011942632662256463
signal,116.93913043478194,patterns,0.011635909212411484,through text,93.99999999999946,based fuzzy,0.011844152710987682
position,116.39999999999934,insights,0.011618274064347033,power point,93.99999999999946,the documents,0.011814038852314135
personalized,115.15151515151452,internet,0.011508990170161083,dc dc,93.99999999999946,the relevant,0.011810350826607256
corpus,114.86075949367026,categorization,0.011480123908622415,retrieve the,92.46153846153794,with text,0.011795968619318413
chinese,114.71508379888203,question,0.0114723635845929,learning to,92.25714285714234,space model,0.011633535484816274
humidity,113.99999999999937,torque,0.011426671279499756,system the,92.24390243902388,text clustering,0.01158782110261242
financial,113.636363636363,pv,0.011413485135023032,average precision,92.12244897959133,the conventional,0.011586831021443221
point,112.91525423728748,multimedia,0.011407133162585441,queries and,92.12244897959133,of social,0.011435127595868486
performance,112.6891566265054,sets,0.011335056779788827,of query,92.12244897959133,logic technique,0.011426671279499763
angle,112.64615384615323,rule,0.011291885352189415,the membership,91.99999999999947,retrieval has,0.011426671279499763
english,112.13793103448212,published,0.011257400115175429,energy consumption,91.68421052631527,relevant information,0.011365770366186741
intuitionistic,111.99999999999937,analytics,0.011218621911479282,mining method,91.36842105263108,based image,0.011343657328219165
clir,111.99999999999937,chinese,0.01112301043106512,information in,91.29032258064466,by text,0.011299221416575512
time,111.78658536585304,opinions,0.011116000697883297,the conventional,91.27999999999949,controller based,0.011087478294924076
code,111.2342857142851,overshoot,0.011087478294924076,control systems,90.1249999999995,of interval,0.011087478294924062
analytics,110.99999999999937,plant,0.011012433555658143,cross modal,89.99999999999949,rule base,0.011087478294924059
phase,110.31788079470137,to,0.010986902529621416,the energy,88.79245283018815,relevance feedback,0.011087478294924055
electrical,108.64285714285653,task,0.010967202052254297,naïve bayes,88.79245283018815,ir system,0.010877548291825481
companies,108.49504950494988,fls,0.01093733495729062,text and,88.44859813084062,amount of,0.010845476574267283
t2,107.9999999999994,svm,0.01089911851845473,control for,88.12765957446759,of words,0.010812741151507804
microcontroller,107.9999999999994,comments,0.010872752603741473,cluster head,88.12765957446759,control systems,0.010811400217358377
analyzing,107.86746987951747,databases,0.010847198210399395,retrieval methods,87.99999999999949,data retrieval,0.010799742330478115
features,107.68717047451608,of,0.010837288096151022,logic with,87.99999999999949,from text,0.010789158533761799
summarization,107.08450704225292,sensors,0.010808798858954072,of retrieval,87.99999999999949,retrieval from,0.010757137331806459
sugeno,105.99999999999939,scheme,0.0107407229386813,we propose,86.82882882882834,paper fuzzy,0.010748476557634938
extracting,105.6987951807223,tf,0.010701167725348393,retrieval with,85.99999999999952,query the,0.010748476557634938
people,105.6264591439683,fault,0.010697086510647501,retrieval process,85.7777777777773,to fuzzy,0.010748476557634938
clinical,104.71111111111051,people,0.01065419186015818,space model,84.966292134831,retrieval we,0.010748476557634924
plant,104.27272727272667,using,0.010579807274247219,query in,83.99999999999955,information needs,0.01074847655763492
based,102.5398679532752,about,0.010561567507131843,information management,83.07999999999954,of ir,0.01074847655763492
soil,101.99999999999942,point,0.01055144476827951,by text,83.07999999999953,maximum power,0.01074847655763492
svm,101.7317073170726,amount,0.010545707701682278,based text,83.07999999999953,documents in,0.01065269866366761
nlp,101.36305732484018,understand,0.01053540496396639,based fuzzy,83.07999999999953,mining based,0.010619280942091264
rule,101.11312217194512,datasets,0.01052367846101182,support vector,82.82758620689609,unstructured data,0.010583170635628594
proposed,101.00676437429482,answering,0.010505203116039578,of social,82.72972972972926,an interval,0.010409665830091862
vehicle,100.28099173553665,experiments,0.010478472016957579,vector machine,82.61764705882307,controller in,0.01040966583009186
flcs,99.99999999999945,induction,0.01041626431537222,naive bayes,82.51063829787186,controller has,0.010409665830091857
motors,99.99999999999945,resources,0.010414719042014301,retrieval for,82.13636363636317,wireless sensor,0.01039550266717499
oil,99.43243243243188,opinion,0.01038835305638909,text categorization,81.78947368421007,retrieval to,0.010389413425364015
localization,99.39130434782554,arabic,0.01038100611888905,an interval,79.99999999999956,question answering,0.010258267044811628
autonomous,98.93103448275806,idf,0.010377684409293566,retrieval this,79.99999999999956,documents and,0.010105863686979407
keyword,98.79104477611885,sentence,0.01036564350787001,the speed,79.76271186440633,of documents,0.010104177815746677
transformer,98.70399999999945,steady,0.010310060008260152,ontology based,79.69230769230725,the type,0.01009562670700367
designed,98.371134020618,terms,0.010245250921897708,the power,79.30337078651642,error and,0.010071045875240846
modal,98.35789473684156,naïve,0.010165356774004857,the load,78.14285714285671,logic model,0.010071045875240837
terms,98.06728971962562,classifiers,0.010092840082674259,the motor,78.14285714285671,mining with,0.01007104587524083
tcm,97.32307692307639,vector,0.010090111265140155,medical information,77.99999999999957,control method,0.010071045875240821
insights,97.29999999999947,motors,0.010071045875240839,sensor networks,77.83870967741892,for fuzzy,0.010039836204717423
tuning,97.01176470588182,parameter,0.010017754279629844,an adaptive,76.89361702127616,control in,0.010014811197654405
tweets,96.10810810810757,summarization,0.010012341258950331,retrieval from,76.14634146341422,is designed,0.010010942867696035
sensors,96.07999999999944,companies,0.009970663397550894,by fuzzy,75.99999999999959,the document,0.009984220035365247
collection,95.41176470588182,access,0.009925525629813744,point tracking,75.99999999999959,support vector,0.009925683107521947
variable,95.01123595505565,key,0.009923194690152903,steady state,75.99999999999959,vector machine,0.009868636592813682
discover,94.76315789473634,technology,0.009917959529043223,logic technique,75.99999999999959,information extraction,0.009834880998696158
identify,94.53696498054421,framework,0.009876727013707967,mamdani fuzzy,75.99999999999959,an adaptive,0.009809148960802566
edge,94.06315789473632,big,0.009870265910069582,traffic light,75.99999999999959,power point,0.009732616456503473
lifetime,93.99999999999946,defuzzification,0.009732616456503466,edge detection,75.99999999999959,to rank,0.009695006236077563
fss,93.99999999999946,function,0.009729190456239118,the design,75.95652173913001,information is,0.00969083625342369
medical,93.98408488063608,on,0.009653213496164569,relevant information,75.2142857142853,tf idf,0.009657855289918627
drive,92.95238095238045,vehicle,0.009621299103473282,search results,75.17391304347782,the design,0.009656987035803328
response,92.88198757763922,methods,0.009607787806495453,the web,74.78048780487764,the content,0.009651252107296534
sentiments,92.34615384615334,support,0.00958000701760147,the relevant,74.47999999999958,text retrieval,0.009618072994162459
framework,92.31205673758814,collections,0.009567820887912228,of documents,74.46153846153805,naive bayes,0.009564268885155597
gas,92.12244897959133,naive,0.009566566296284672,text summarization,74.24615384615345,the internet,0.009435162000075697
parameter,91.91304347826033,position,0.009563385395413142,controller has,73.99999999999959,control and,0.009409180864080696
crime,91.8108108108103,mathematical,0.00950353033056361,logic this,73.99999999999959,energy consumption,0.009406335990860132
turbine,91.68421052631527,collected,0.00949957137866882,wind turbine,73.99999999999959,mining has,0.00939855540624609
discovery,90.99999999999949,representation,0.009479724224894813,information needs,73.99999999999959,query is,0.00939437733777785
monitoring,89.4225352112671,negative,0.009473747915651698,boost converter,73.99999999999959,point tracking,0.00939437733777785
education,89.09782608695602,phase,0.009399933915944007,unstructured text,73.67741935483829,temperature and,0.00939437733777785
head,89.01886792452778,triangular,0.009394377337777853,mining based,73.19999999999959,control is,0.00939437733777785
keywords,88.48704663212385,extracted,0.009389033183872592,control in,72.93333333333293,controllers are,0.009394377337777846
posts,88.3599999999995,huge,0.009295947947492408,non linear,72.57142857142816,mean average,0.009394377337777843
technology,88.35714285714235,tasks,0.009286365683503661,for fuzzy,72.42857142857102,unstructured text,0.009390379910258536
fl,87.99999999999949,decision,0.009266277419298845,speed control,71.9999999999996,based text,0.009366148277212043
naïve,87.96551724137882,term,0.00923590893066977,the ir,71.9999999999996,naïve bayes,0.009359054349128725
published,87.3599999999995,english,0.009230976692662162,of ir,71.9999999999996,semantic information,0.009247512505187114
biomedical,86.32298136645913,business,0.009159445694313591,fuzzy membership,71.9999999999996,non linear,0.009225452686096015
simulations,85.99999999999952,or,0.009146315624336192,the documents,71.51578947368381,the energy,0.009138864013982735
fish,85.7777777777773,toolbox,0.009116854117883866,of uncertainty,70.58536585365815,speed control,0.009056328283440582
model,85.45286103542188,mppt,0.009056328283440575,and type,70.32653061224451,fuzzy membership,0.009056328283440575
databases,85.28994082840188,transient,0.009056328283440572,documents in,70.06666666666626,mamdani fuzzy,0.009056328283440574
optimization,84.83794466403114,forest,0.009056328283440569,control scheme,69.9999999999996,controller to,0.00905632828344057
translation,84.66666666666617,turbine,0.009049076406360185,to fuzzy,69.9999999999996,on information,0.009043383383635927
graph,84.45714285714239,form,0.009019030115431322,cross media,69.9999999999996,of document,0.008966895780579576
circuit,84.13333333333286,variable,0.00898659768086153,the analysis,69.33333333333294,of power,0.008909669245083851
buck,83.99999999999955,lda,0.008980782131238565,speed of,69.29411764705843,system for,0.008905602660071166
inverter,83.99999999999955,implementation,0.008953723749056815,control and,68.37499999999962,feature selection,0.008880933887578393
generator,83.47169811320707,biomedical,0.008952672566965962,unstructured data,68.18604651162752,system using,0.008835877028705932
consumption,83.04838709677372,trec,0.008942686736298236,multimedia information,68.16216216216178,the power,0.008801290546286762
propose,82.37563451776603,medical,0.008931261686268514,and humidity,67.99999999999963,the speed,0.008795098449099838
customers,82.15999999999954,graph,0.008879697997500043,dc motor,67.99999999999963,ir systems,0.008790641815479713
t1,81.99999999999955,generator,0.008878192063107401,retrieval has,67.99999999999963,the interval,0.008718469058340516
handover,81.99999999999955,personalized,0.008832611761404773,query the,67.99999999999963,proposed controller,0.008718469058340516
switching,81.99999999999955,services,0.008780161020762393,controller in,67.99999999999963,dc dc,0.008718469058340516
opinions,81.91891891891845,classify,0.008731288844998162,random forest,67.99999999999963,cross language,0.008718469058340513
light,81.84615384615338,switching,0.00871846905834052,control method,67.99999999999963,the ir,0.008718469058340509
theory,81.65079365079319,paper,0.008707528246092326,controller based,67.99999999999963,performance of,0.008697769416188387
or,81.58274824473375,under,0.008699635292790844,web information,66.61538461538424,the analysis,0.00864207943458439
was,81.21782178217775,algorithm,0.008696193174108888,type and,66.49999999999963,ontology based,0.008628895209862982
papers,81.09999999999955,digital,0.008650782618846872,sets and,66.49999999999963,the motor,0.008506518966195064
logics,80.13953488372049,models,0.008633363613269027,in wireless,66.1666666666663,knowledge from,0.008501225877866996
pwm,79.99999999999956,consumption,0.008614361455560663,retrieval to,66.1666666666663,the load,0.008492083493292333
